Algorithm,DataType,DataSize,Time_ms,Comparisons,Verified
Radix Sort,Sorted,600,0.806200,2532,true
Radix+Quick Sort,Sorted,600,1.622000,5224,true
Merge Sort,Reverse Sorted,600,0.517400,6306,true
Quick Sort,Reverse Sorted,600,2.015400,12803,true
Radix Sort,Reverse Sorted,600,0.728000,2515,true
Radix+Quick Sort,Reverse Sorted,600,1.597400,5249,true
Merge Sort,Almost Sorted,600,0.621800,9706,true
Quick Sort,Almost Sorted,600,2.027600,13309,true
Radix Sort,Almost Sorted,600,0.735600,2529,true
Radix+Quick Sort,Almost Sorted,600,1.618000,5241,true
Merge Sort,Common Prefix,600,1.185200,34817,true
Quick Sort,Common Prefix,600,2.582000,41852,true
Radix Sort,Common Prefix,600,1.144000,8520,true
Radix+Quick Sort,Common Prefix,600,2.127800,18013,true
Merge Sort,Random,700,0.860600,13139,true
Quick Sort,Random,700,2.442800,16535,true
Radix Sort,Random,700,0.864400,2981,true
Radix+Quick Sort,Random,700,1.921000,6593,true
Merge Sort,Sorted,700,0.574600,8449,true
Quick Sort,Sorted,700,2.369400,16210,true
Radix Sort,Sorted,700,0.804800,2971,true
Radix+Quick Sort,Sorted,700,1.884400,6594,true
Merge Sort,Reverse Sorted,700,0.609800,7547,true
Quick Sort,Reverse Sorted,700,2.322800,15487,true
Radix Sort,Reverse Sorted,700,0.824200,2970,true
Radix+Quick Sort,Reverse Sorted,700,1.868600,6480,true
Merge Sort,Almost Sorted,700,0.770000,11969,true
Quick Sort,Almost Sorted,700,2.394800,16064,true
Radix Sort,Almost Sorted,700,0.835600,2970,true
Radix+Quick Sort,Almost Sorted,700,1.864800,6563,true
Merge Sort,Common Prefix,700,1.405800,41945,true
Quick Sort,Common Prefix,700,3.014600,50880,true
Radix Sort,Common Prefix,700,1.330400,9969,true
Radix+Quick Sort,Common Prefix,700,2.508400,22085,true
Merge Sort,Random,800,0.994200,15469,true
Quick Sort,Random,800,2.756800,18861,true
Radix Sort,Random,800,0.929400,3440,true
Radix+Quick Sort,Random,800,2.173000,7970,true
Merge Sort,Sorted,800,0.671800,9809,true
Quick Sort,Sorted,800,2.824600,19531,true
Radix Sort,Sorted,800,0.909400,3435,true
Radix+Quick Sort,Sorted,800,2.116400,8053,true
Merge Sort,Reverse Sorted,800,0.683200,8940,true
Quick Sort,Reverse Sorted,800,2.775200,19145,true
Radix Sort,Reverse Sorted,800,0.953400,3422,true
Radix+Quick Sort,Reverse Sorted,800,2.198200,7932,true
Merge Sort,Almost Sorted,800,0.901800,13894,true
Quick Sort,Almost Sorted,800,2.776400,19101,true
Radix Sort,Almost Sorted,800,0.915400,3428,true
Radix+Quick Sort,Almost Sorted,800,2.167800,8046,true
Merge Sort,Common Prefix,800,1.619600,49038,true
Quick Sort,Common Prefix,800,3.482000,60318,true
Radix Sort,Common Prefix,800,1.472400,11436,true
Radix+Quick Sort,Common Prefix,800,3.067200,26574,true
Merge Sort,Random,900,1.149800,17828,true
Quick Sort,Random,900,3.085600,21530,true
Radix Sort,Random,900,1.035000,3879,true
Radix+Quick Sort,Random,900,2.555600,9486,true
Merge Sort,Sorted,900,0.779200,11106,true
Quick Sort,Sorted,900,3.110200,21460,true
Radix Sort,Sorted,900,0.996000,3880,true
Radix+Quick Sort,Sorted,900,2.416600,9366,true
Merge Sort,Reverse Sorted,900,0.798000,10381,true
Quick Sort,Reverse Sorted,900,3.091600,21149,true
Radix Sort,Reverse Sorted,900,0.996600,3862,true
Radix+Quick Sort,Reverse Sorted,900,2.405800,9409,true
Merge Sort,Almost Sorted,900,1.000800,15714,true
Quick Sort,Almost Sorted,900,3.178000,22153,true
Radix Sort,Almost Sorted,900,0.986400,3864,true
Radix+Quick Sort,Almost Sorted,900,2.429400,9375,true
Merge Sort,Common Prefix,900,1.884600,56420,true
Quick Sort,Common Prefix,900,3.990000,70667,true
Radix Sort,Common Prefix,900,1.693400,12868,true
Radix+Quick Sort,Common Prefix,900,3.423000,30887,true
Merge Sort,Random,1000,1.282800,20301,true
Quick Sort,Random,1000,3.442600,24758,true
Radix Sort,Random,1000,1.071200,4312,true
Radix+Quick Sort,Random,1000,2.822800,11055,true
Merge Sort,Sorted,1000,0.846400,12256,true
Quick Sort,Sorted,1000,3.478400,24874,true
Radix Sort,Sorted,1000,1.106200,4338,true
Radix+Quick Sort,Sorted,1000,2.800600,10889,true
Merge Sort,Reverse Sorted,1000,0.913600,11990,true
Quick Sort,Reverse Sorted,1000,3.517200,24964,true
Radix Sort,Reverse Sorted,1000,1.127600,4340,true
Radix+Quick Sort,Reverse Sorted,1000,2.827800,10961,true
Merge Sort,Almost Sorted,1000,1.115200,17776,true
Quick Sort,Almost Sorted,1000,3.436200,24710,true
Radix Sort,Almost Sorted,1000,1.105800,4340,true
Radix+Quick Sort,Almost Sorted,1000,2.849800,10911,true
Merge Sort,Common Prefix,1000,2.091000,63797,true
Quick Sort,Common Prefix,1000,4.380600,76858,true
Radix Sort,Common Prefix,1000,1.795400,14325,true
Radix+Quick Sort,Common Prefix,1000,3.816000,35928,true
Merge Sort,Random,1100,1.457200,22769,true
Quick Sort,Random,1100,3.862000,28436,true
Radix Sort,Random,1100,1.218000,4792,true
Radix+Quick Sort,Random,1100,3.100000,12597,true
Merge Sort,Sorted,1100,0.934000,14025,true
Quick Sort,Sorted,1100,3.739200,27612,true
Radix Sort,Sorted,1100,1.246600,4798,true
Radix+Quick Sort,Sorted,1100,3.092400,12453,true
Merge Sort,Reverse Sorted,1100,0.988000,13228,true
Quick Sort,Reverse Sorted,1100,3.834400,28159,true
Radix Sort,Reverse Sorted,1100,1.250400,4812,true
Radix+Quick Sort,Reverse Sorted,1100,3.046200,12521,true
Merge Sort,Almost Sorted,1100,1.292400,20244,true
Quick Sort,Almost Sorted,1100,3.792800,28326,true
Radix Sort,Almost Sorted,1100,1.186800,4774,true
Radix+Quick Sort,Almost Sorted,1100,3.028800,12577,true
Merge Sort,Common Prefix,1100,2.400600,71453,true
Quick Sort,Common Prefix,1100,4.946000,90193,true
Radix Sort,Common Prefix,1100,2.063400,15787,true
Radix+Quick Sort,Common Prefix,1100,4.104600,40567,true
Merge Sort,Random,1200,1.593000,25323,true
Quick Sort,Random,1200,4.129200,29751,true
Radix Sort,Random,1200,1.407000,5274,true
Radix+Quick Sort,Random,1200,3.442200,14167,true
Merge Sort,Sorted,1200,1.040200,15850,true
Quick Sort,Sorted,1200,4.116800,31109,true
Radix Sort,Sorted,1200,1.401800,5285,true
Radix+Quick Sort,Sorted,1200,3.308800,14014,true
Merge Sort,Reverse Sorted,1200,1.075600,14430,true
Quick Sort,Reverse Sorted,1200,4.275800,31693,true
Radix Sort,Reverse Sorted,1200,1.366800,5268,true
Radix+Quick Sort,Reverse Sorted,1200,3.363600,14276,true
Merge Sort,Almost Sorted,1200,1.431800,22825,true
Quick Sort,Almost Sorted,1200,4.248600,32802,true
Radix Sort,Almost Sorted,1200,1.343200,5276,true
Radix+Quick Sort,Almost Sorted,1200,3.331200,14262,true
Merge Sort,Common Prefix,1200,2.625000,79288,true
Quick Sort,Common Prefix,1200,5.560600,97563,true
Radix Sort,Common Prefix,1200,2.124200,17288,true
Radix+Quick Sort,Common Prefix,1200,4.462000,45619,true
Merge Sort,Random,1300,1.725200,27908,true
Quick Sort,Random,1300,4.699600,34792,true
Radix Sort,Random,1300,1.450800,5724,true
Radix+Quick Sort,Random,1300,3.607200,15817,true
Merge Sort,Sorted,1300,1.109200,17491,true
Quick Sort,Sorted,1300,4.651200,34918,true
Radix Sort,Sorted,1300,1.442400,5765,true
Radix+Quick Sort,Sorted,1300,3.595000,15839,true
Merge Sort,Reverse Sorted,1300,1.190000,15804,true
Quick Sort,Reverse Sorted,1300,4.698000,35612,true
Radix Sort,Reverse Sorted,1300,1.507000,5769,true
Radix+Quick Sort,Reverse Sorted,1300,3.658800,15854,true
Merge Sort,Almost Sorted,1300,1.549400,25260,true
Quick Sort,Almost Sorted,1300,4.653600,33855,true
Radix Sort,Almost Sorted,1300,1.457400,5766,true
Radix+Quick Sort,Almost Sorted,1300,3.644200,15699,true
Merge Sort,Common Prefix,1300,2.874800,87017,true
Quick Sort,Common Prefix,1300,6.091800,113910,true
Radix Sort,Common Prefix,1300,2.314600,18772,true
Radix+Quick Sort,Common Prefix,1300,5.020200,51117,true
Merge Sort,Random,1400,1.907000,30415,true
Quick Sort,Random,1400,4.893200,37413,true
Radix Sort,Random,1400,1.597200,6224,true
Radix+Quick Sort,Random,1400,4.025000,17586,true
Merge Sort,Sorted,1400,1.210200,19144,true
Quick Sort,Sorted,1400,4.970600,39588,true
Radix Sort,Sorted,1400,1.530400,6206,true
Radix+Quick Sort,Sorted,1400,3.949400,17513,true
Merge Sort,Reverse Sorted,1400,1.273200,17297,true
Quick Sort,Reverse Sorted,1400,4.975600,38053,true
Radix Sort,Reverse Sorted,1400,1.594000,6205,true
Radix+Quick Sort,Reverse Sorted,1400,3.979600,17726,true
Merge Sort,Almost Sorted,1400,1.703800,27480,true
Quick Sort,Almost Sorted,1400,4.904800,37923,true
Radix Sort,Almost Sorted,1400,1.608800,6246,true
Radix+Quick Sort,Almost Sorted,1400,3.959200,17656,true
