Algorithm,DataType,DataSize,Time_ms,Comparisons,Verified
Quick Sort,Almost Sorted,2600,9.585200,82742,true
Radix Sort,Almost Sorted,2600,3.560800,12370,true
Radix+Quick Sort,Almost Sorted,2600,7.523800,41074,true
Merge Sort,Common Prefix,2600,6.415200,194976,true
Quick Sort,Common Prefix,2600,12.720200,250329,true
Radix Sort,Common Prefix,2600,5.302800,38370,true
Radix+Quick Sort,Common Prefix,2600,10.481400,126728,true
Merge Sort,Random,2700,4.063800,66619,true
Quick Sort,Random,2700,9.882800,85678,true
Radix Sort,Random,2700,3.666800,12878,true
Radix+Quick Sort,Random,2700,7.941600,43228,true
Merge Sort,Sorted,2700,2.680200,41180,true
Quick Sort,Sorted,2700,9.823800,83617,true
Radix Sort,Sorted,2700,3.680600,12912,true
Radix+Quick Sort,Sorted,2700,8.005600,43463,true
Merge Sort,Reverse Sorted,2700,2.860000,37371,true
Quick Sort,Reverse Sorted,2700,9.876400,82359,true
Radix Sort,Reverse Sorted,2700,3.685800,12854,true
Radix+Quick Sort,Reverse Sorted,2700,8.053600,43310,true
Merge Sort,Almost Sorted,2700,3.720000,61144,true
Quick Sort,Almost Sorted,2700,9.883200,83569,true
Radix Sort,Almost Sorted,2700,3.776200,12942,true
Radix+Quick Sort,Almost Sorted,2700,7.957400,43781,true
Merge Sort,Common Prefix,2700,6.680600,203783,true
Quick Sort,Common Prefix,2700,13.014000,251092,true
Radix Sort,Common Prefix,2700,5.714000,39975,true
Radix+Quick Sort,Common Prefix,2700,11.076000,132344,true
Merge Sort,Random,2800,4.267600,69562,true
Quick Sort,Random,2800,10.262000,84980,true
Radix Sort,Random,2800,3.954200,13416,true
Radix+Quick Sort,Random,2800,8.317400,45619,true
Merge Sort,Sorted,2800,2.784800,42872,true
Quick Sort,Sorted,2800,10.198800,88426,true
Radix Sort,Sorted,2800,3.745800,13419,true
Radix+Quick Sort,Sorted,2800,8.187400,45809,true
Merge Sort,Reverse Sorted,2800,2.899200,38989,true
Quick Sort,Reverse Sorted,2800,10.222000,87609,true
Radix Sort,Reverse Sorted,2800,3.890000,13402,true
Radix+Quick Sort,Reverse Sorted,2800,8.389400,45228,true
Merge Sort,Almost Sorted,2800,3.767000,63903,true
Quick Sort,Almost Sorted,2800,10.064600,86988,true
Radix Sort,Almost Sorted,2800,3.832600,13425,true
Radix+Quick Sort,Almost Sorted,2800,8.391600,45707,true
Merge Sort,Common Prefix,2800,6.984600,212335,true
Quick Sort,Common Prefix,2800,13.701800,271107,true
Radix Sort,Common Prefix,2800,5.871600,41424,true
Radix+Quick Sort,Common Prefix,2800,11.412600,139790,true
Merge Sort,Random,2900,4.454200,72341,true
Quick Sort,Random,2900,10.570800,90340,true
Radix Sort,Random,2900,4.127000,13973,true
Radix+Quick Sort,Random,2900,8.667000,47487,true
Merge Sort,Sorted,2900,2.828000,44651,true
Quick Sort,Sorted,2900,10.691600,89029,true
Radix Sort,Sorted,2900,4.037400,13950,true
Radix+Quick Sort,Sorted,2900,8.542600,47951,true
Merge Sort,Reverse Sorted,2900,2.984600,40731,true
Quick Sort,Reverse Sorted,2900,10.702400,94310,true
Radix Sort,Reverse Sorted,2900,4.193400,14004,true
Radix+Quick Sort,Reverse Sorted,2900,8.625800,47781,true
Merge Sort,Almost Sorted,2900,3.998800,67072,true
Quick Sort,Almost Sorted,2900,10.356400,86849,true
Radix Sort,Almost Sorted,2900,4.109400,14002,true
Radix+Quick Sort,Almost Sorted,2900,8.476400,47764,true
Merge Sort,Common Prefix,2900,7.318200,221342,true
Quick Sort,Common Prefix,2900,13.927000,276370,true
Radix Sort,Common Prefix,2900,6.027800,43006,true
Radix+Quick Sort,Common Prefix,2900,11.753600,145258,true
Merge Sort,Random,3000,4.598600,75397,true
Quick Sort,Random,3000,10.835000,93634,true
Radix Sort,Random,3000,4.367600,14499,true
Radix+Quick Sort,Random,3000,8.868600,49938,true
Merge Sort,Sorted,3000,2.924800,46211,true
Quick Sort,Sorted,3000,11.041800,96288,true
Radix Sort,Sorted,3000,4.277600,14538,true
Radix+Quick Sort,Sorted,3000,8.766600,50092,true
Merge Sort,Reverse Sorted,3000,3.095600,42536,true
Quick Sort,Reverse Sorted,3000,10.699400,91802,true
Radix Sort,Reverse Sorted,3000,4.320600,14505,true
Radix+Quick Sort,Reverse Sorted,3000,8.912600,50102,true
Merge Sort,Almost Sorted,3000,4.062800,69159,true
Quick Sort,Almost Sorted,3000,10.818400,91622,true
Radix Sort,Almost Sorted,3000,4.399200,14544,true
Radix+Quick Sort,Almost Sorted,3000,8.986800,49521,true
Merge Sort,Common Prefix,3000,7.513400,230017,true
Quick Sort,Common Prefix,3000,14.584800,286535,true
Radix Sort,Common Prefix,3000,6.292000,44525,true
Radix+Quick Sort,Common Prefix,3000,12.241000,152350,true
